10001	3497
10002	2783
10003	919
10004	639
10005	836
10006	668
10007	658
10008	214
10009	105
10010	81
10011	67
10012	776
10013	599
10014	94
10015	209
10016	3749
10017	87
10018	999
10019	287
10020	1198
10021	1041
10022	332
10023	249
10024	253
10025	203
10026	126
10027	93
10028	1316
10029	521
10030	75
10031	61
10032	57
10033	526
10034	535
10035	682
10036	198
10037	966
10038	1499
10039	684
10040	380
10041	233
10042	163
10043	67
10044	15
10045	158
10046	784
10047	294
10048	6534
10049	186
10050	537
10051	27
10052	12
10053	102
10054	151
10055	347
10056	218
10057	144
10058	1014
10059	30
10060	49
10061	716
10062	237
10063	48
10064	226
10065	852
10066	365
10067	53
10068	283
10069	167
10070	72
10071	2746
10072	1233
10073	389
10074	45
10075	33
10076	18
10077	31
10078	14
10079	14
10080	60
10081	20
10082	17
10083	10
10084	10
10085	11
10086	1060
10087	105
10088	34
10089	184
10090	39
10091	160
10092	191
10093	183
10094	7
10095	240
10096	115
10097	175
10098	46
10099	56
10100	413
10101	787
10102	3985
10103	226
10104	150
10105	348
10106	240
10107	199
10108	17
10109	46
10110	2057
10111	777
10112	159
10113	623
10114	2810
10115	240
10116	201
10117	464
10118	90
10119	91
10120	16
10121	61
10122	5
10123	26
10124	66
10125	12
10126	18
10127	13
10128	277
10129	2
10130	166
10131	23
10132	744
10133	122
10134	35
10135	175
10136	73
10137	30
10138	99
10139	6
10140	192
10141	178
10142	126
10143	78
10144	11
10145	19
10146	128
10147	26
10148	70
10149	239
10150	77
10151	52
10152	219
10153	800
10154	37
10155	115
10156	74
10157	85
10158	57
10159	67
10160	26
10161	61
10162	52
10163	51
10164	52
10165	73
10166	77
10167	53
10168	44
10169	73
10170	74
10171	77
10172	73
10173	706
10174	24
10175	29
10176	16
10177	4
10178	175
10179	80
10180	2
10181	333
10182	233
10183	218
10184	116
10185	460
10186	59
10187	51
10188	51
10189	73
10190	114
10191	37
10192	36
10193	10
10194	6
10195	3
10196	6
10197	6
10198	3
10199	13
10200	6472
10201	139
10202	78
10203	19
10204	68
10205	36
10206	8
10207	17
10208	18
10209	15
10210	23
10211	1
10212	65
10213	64
10214	80
10215	48
10216	57
10217	532
10218	168
10219	100
10220	31
10221	6
10222	6
10223	1
10226	1
10228	37
10230	213
10231	17
10232	30
10233	20
10234	77
10235	10
10236	78
10237	70
10238	874
10239	6
10240	43
10241	119
10242	793
10243	182
10244	675
10245	437
10246	137
10247	25
10248	25
10249	1167
10250	574
10251	190
10252	23
10253	633
10254	11
10255	2
10256	8
10257	24
10258	3
10259	25
10260	18
10261	7
10262	693
10263	32
10264	72
10265	2
10266	1
10267	2
10268	14
10269	99
10270	52
10271	21
10272	98
10273	61
10274	104
10275	180
10276	21
10277	42
10278	83
10279	6
10280	9
10281	66
10282	382
10283	86
10284	90
10285	33
10286	843
10287	40
10288	14
10289	6
10290	138
10291	45
10292	6
10293	329
10294	50
10295	16
10296	34
10297	49
10298	26
10299	77
10300	105
10301	181
10302	35
10303	8
10304	432
10305	24
10306	248
10307	104
10308	22
10309	12
10310	60
10311	76
10312	65
10313	153
10314	975
10315	21
10316	71
10317	89
10318	17
10320	4
10321	35
10322	91
10323	100
10324	11
10326	92
10327	77
10328	13
10329	43
10330	853
10331	106
10332	24
10333	90
10334	189
10335	139
10336	62
10337	7
10338	19
10339	1
10340	22
10341	344
10343	99
10344	55
10345	52
10346	3
10347	22
10349	103
10350	4
10351	13
10352	4
10353	287
10354	58
10355	18
10357	89
10358	134
10359	36
10360	13
10361	102
10362	171
10363	54
10364	12
10365	167
10366	7
10367	26
10368	1
10369	2
10370	10
10371	140
10373	5
10374	10
10375	12
10376	11
10377	11
10378	38
10379	46
10381	88
10382	56
10384	10
10385	131
10386	28
10388	69
10389	106
10390	20
10391	9
10392	20
10393	1
10394	93
10395	130
10396	42
10397	194
10398	3
10399	23
10400	65
10401	61
10402	33
10403	93
10404	275
10405	78
10406	22
10407	86
10408	18
10409	22
10410	119
10411	148
10412	51
10413	15
10414	19
10415	11
10416	8
10417	19
10418	63
10419	8
10420	211
10421	56
10422	31
10423	89
10424	32
10425	3
10426	8
10427	16
10428	7
10429	175
10430	60
10431	32
10432	15
10433	418
10434	96
10435	44
10437	70
10438	55
10439	90
10440	481
10441	114
10442	148
10443	85
10444	27
10445	8
10446	38
10448	316
10449	20
10450	125
10451	51
10452	66
10453	304
10454	124
10455	2
10456	5
10457	5
10458	6
10459	57
10460	1
10462	71
10463	5
10464	65
10465	9
10466	22
10467	14
10468	11
10469	158
10470	82
10471	69
10472	82
10473	249
10474	21
10475	77
10476	121
10477	15
10478	37
10479	139
10480	105
10481	2
10482	15
10483	30
10484	13
10485	23
10486	13
10487	3
